"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","cathmarg","difcro2","rightmar2","diffvotensoc"
"97","1903","126",126,"Socialist",0.153472871842844,5,0,0.461880261927035,-0.278122076707203,0,0,0.0445829235407634
"98","1907","126",126,"Socialist",0.18450483548544,4,0,0.476200767194338,-0.26360149116646,0,0,0.0397926331995095
"99","1890","127",127,"Conservative",0.0502666624085843,3,0.333333333333333,0.449908983489286,-0.399642321080701,0,0,0.0579630799831002
"100","1898","127",127,"Socialist",0.0922419764488571,4,0,0.49324636342646,-0.401004386977603,0,0,0.00522824977903102
"101","1903","127",127,"Socialist",0.182765247294427,4,0,0.480757560432892,-0.28651259229291,0,0,0.0430048874247507
"102","1890","128",128,"Liberal",0.0173732021196064,5,0,0.294322482967449,-0.270476911430734,0,0,0.223502995333998
"103","1893","128",128,"Liberal",0.00515626644217615,6,0,0.35174857062682,-0.340453891753481,1,1,0.28398472535301
"104","1898","128",128,"Socialist",0.117838096540407,6,0,0.384999316286066,-0.259845480650896,0,0,0.171263122133561
"105","1903","128",128,"Socialist",0.0718906826289377,5,0,0.416319003567326,-0.320756998609348,0,0,0.107078698126786
"106","1907","128",128,"Socialist",0.000591949486977161,3,0,0.394773931672116,-0.394181982185139,0,0,0.198416691295392
"107","1912","128",128,"Socialist",0.129308927494931,3,0,0.476050857675234,-0.346741930180304,0,0,0.023935924253018
"108","1897","129",129,"Conservative",0.00816671360180232,3,0.2,0.43389186144748,-0.425725147845677,1,0,0.144027044268202
"109","1898","129",129,"Conservative",0.0611368364539293,3,0.333333333333333,0.434400375813704,-0.373263539359775,0,0,0.127700404881825
"110","1903","129",129,"Socialist",0.130397335783188,3,0.666666666666667,0.419039963252182,-0.288642627468994,0,1,0.156337062032339
"111","1907","129",129,"Liberal",0.158058667658407,3,0.6,0.47733717632839,-0.319278508669983,0,1,0.172304400732542
"112","1912","129",129,"Socialist",0.145213384436501,4,0,0.38503940398777,-0.239826019551268,0,0,0.162832261903933
"113","1912","13",13,"Conservative",0.0932837533856677,4,0,0.362759950420052,-0.269476197034385,0,0,0.216895174677144
"114","1898","130",130,"Conservative",0.104415760869565,3,0,0.491236413043478,-0.386820652173913,0,0,0.0336747261817763
"115","1898","130",130,"Conservative",0.0833829306034995,3,0,0.478812046184978,-0.395429115581478,0,0,0.0359866480478839
"116","1903","130",130,"Conservative",0.109622484220555,3,0.333333333333333,0.459628438728117,-0.350005954507562,0,0,0.0604000462282652
"117","1907","130",130,"Conservative",0.17505193291787,4,0.25,0.467092263261894,-0.292040330344024,0,0,0.038733269500504
"118","1912","130",130,"Conservative",0.137772567409144,3,0.333333333333333,0.431699882766706,-0.293927315357562,0,0,0.128030985047282
"119","1890","131",131,"Conservative",0.0727475084737189,3,0.333333333333333,0.4712905347296,-0.398543026255881,0,0,0.0490543596707102
"120","1898","131",131,"Conservative",0.0585059751764869,3,0.6,0.404281825312601,-0.345775850136114,0,0,0.142275434765886
"121","1903","131",131,"Socialist",0.0392041901188243,5,0,0.409709193245779,-0.36843339587242,0,0,0.102674347126892
"122","1907","131",131,"Conservative",0.0213537180591444,5,0.142857142857143,0.383828596037898,-0.362474877978754,1,1,0.210801397413313
"123","1912","131",131,"Socialist",0.0945793524416136,5,0,0.428609341825902,-0.334029989384289,0,0,0.0968308760941288
"124","1890","132",132,"Socialist",0.111088877772219,3,0,0.427146906786727,-0.316058029014507,0,0,0.0959816854160294
"125","1893","132",132,"Socialist",0.085919076579372,3,0,0.403096686111456,-0.317177609532084,0,0,0.153008308601488
"126","1898","132",132,"Socialist",0.251059203924629,5,0,0.497268368825956,-0.244564611439402,0,0,0.0469259803219534
"127","1912","133",133,"Conservative",0.0525804423615477,4,0,0.436789163856661,-0.384208721495113,1,0,0.0886143369389742
"128","1890","134",134,"Liberal",0.00787359111254921,3,0.5,0.436606805802729,-0.42873321469018,0,0,0.0924714219056358
