"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","conmarg","difcro2","rightmar2","diffvotensoc"
"713","1898","317",317,"Socialist",0.011872399445215,4,0,0.295201109570042,-0.283328710124827,1,1,0.211629912515218
"714","1903","317",317,"Socialist",0.210547378718485,5,0,0.397083018364534,-0.093823647116368,1,0,0.246463658718218
"715","1912","317",317,"Socialist",0.0851005609522507,3,0,0.408161171158845,-0.0570529484197564,0,0,0.0943138934883657
"716","1898","318",318,"Liberal",0.0765943012211669,4,0,0.381004070556309,0.326729986431479,0,0,0.131265527489438
"717","1912","318",318,"Liberal",0.15034732134361,3,0.2,0.309163574079361,0.230754591302693,1,1,0.163133217717497
"718","1890","319",319,"Liberal",0.0408628365486538,3,0,0.44313122747509,-0.402268390926436,1,1,0.114700156303971
"719","1898","319",319,"Liberal",0.0438752052545156,4,0,0.388702791461412,0.103908045977012,0,0,0.164888600377604
"720","1903","319",319,"Liberal",0.0931925139542519,4,0.2,0.289865382510671,0.159735142825873,1,0,0.163461542620163
"721","1907","319",319,"Liberal",0.153319960911382,4,0,0.275214730237103,0.198529033585352,0,0,0.172387596109874
"722","1890","32",32,"Socialist",0.0371217518467134,5,0,0.379185571262515,-0.0764933068356519,0,0,0.133442765493132
"723","1893","32",32,"Socialist",0.207301641586867,7,0,0.456002051983584,-0.0226744186046512,0,0,0.134342193170441
"724","1898","32",32,"Socialist",0.185120286204505,5,0,0.479483809732413,-0.0870295330923958,0,0,0.0183114740921156
"725","1890","321",321,"Liberal",0.099201001155179,4,0.25,0.469628417404698,-0.370427416249519,0,0,0.0522551396272186
"726","1893","321",321,"Liberal",0.0327344494351436,4,0.2,0.410711855178985,0.306247447937934,1,0,0.144260759407351
"727","1898","321",321,"Liberal",0.17579678633929,4,0.4,0.425359283024871,-0.249562496685581,0,0,0.111716716359333
"728","1903","321",321,"Socialist",0.0837142484001567,5,0,0.284010273823517,-0.0535457751077446,0,0,0.304475759976192
"729","1907","321",321,"Liberal",0.144105666943489,4,0.25,0.432317000830466,-0.189899948590185,0,0,0.154593258153673
"730","1912","321",321,"Liberal",0.00881746190190991,3,0.25,0.34368137352765,0.0157050642177414,1,1,0.233896514534109
"731","1890","325",325,"Liberal",0.00330661322645293,4,0.25,0.451052104208417,-0.447745490981964,0,0,0.0973904806358416
"732","1893","325",325,"Catholic",0.0731993470720261,4,0,0.473831871046725,-0.400632523974699,1,1,0.0976535137216185
"733","1898","325",325,"Catholic",0.11604743083004,4,0,0.4966534914361,-0.380606060606061,1,1,0.0768967207279734
"734","1912","325",325,"Catholic",0.0653906923297903,3,0,0.476228095374892,-0.410837403045102,0,0,0.0405793457221225
"735","1912","325",325,"Catholic",0.0987045663187243,3,0,0.493794838665805,-0.395090272347081,0,0,0.00922115923610922
"736","1893","326",326,"Catholic",0.0947392010756905,4,0,0.390778194856855,0.419519300801165,1,1,0.0793038742801759
"737","1898","326",326,"Liberal",0.0334730371612182,3,0,0.484045822855546,-0.450572785694328,0,0,0.014254653011211
"738","1898","326",326,"Liberal",0.0504999238694614,4,0,0.482566106684261,-0.4320661828148,0,0,0.0367942425612545
"739","1903","326",326,"Catholic",0.0179825793762293,4,0,0.454294277418751,-0.436311698042521,0,0,0.0584670466230613
"740","1907","326",326,"Catholic",0.0849123097972553,3,0,0.493843028317924,-0.408930718520668,0,0,0.0311361209731523
"741","1912","326",326,"Catholic",0.127120768909319,3,0,0.477684914333473,-0.350564145424154,0,0,0.0277690541723383
"742","1890","328",328,"Liberal",0.0501550572519084,4,0.2,0.360209923664122,-0.310054866412214,0,0,0.176829116024425
"743","1893","328",328,"Liberal",0.0836382645060115,5,0,0.404404077365395,-0.253463146889702,0,0,0.123798465624579
"744","1898","328",328,"Liberal",0.169323655111593,5,0,0.467878705650906,-0.290685842208805,0,0,0.148871004266506
"745","1903","328",328,"Liberal",0.0264488286066584,4,0,0.380517879161529,-0.354069050554871,0,0,0.209450807933081
"746","1907","328",328,"Liberal",0.0765550239234449,4,0.4,0.398261048515717,-0.321706024592272,0,0,0.141349152201824
"747","1912","328",328,"Liberal",0.134862871740493,4,0.25,0.434279654889864,-0.281631079192172,0,0,0.190442811160635
"748","1890","329",329,"Catholic",0.0577437505765151,4,0,0.445254127847985,-0.387510377271469,0,0,0.121156311908898
"749","1893","329",329,"Liberal",0.029663810151615,5,0,0.446529080675422,-0.399776887581766,0,0,0.0649101682535725
"750","1898","329",329,"Catholic",0.0567274118716219,4,0,0.469220835126991,-0.406418902759841,1,1,0.0814129514597801
"751","1903","329",329,"Catholic",0.135034877625902,4,0,0.480303213580098,-0.344058707310189,0,0,0.0377734025412113
"752","1907","329",329,"Catholic",0.0978142974527527,3,0,0.44354971240756,-0.345735414954807,0,0,0.0964516729218025
"753","1912","329",329,"Catholic",0.0882187850817014,4,0,0.420481476861669,-0.310371710116004,0,0,0.0959774752772293
"754","1890","33",33,"Socialist",0.028825010994283,4,0,0.491224563227122,-0.462399552232839,0,0,0.0175997343737139
"755","1893","33",33,"Socialist",0.180790323792352,6,0,0.47825107054316,-0.127150477049057,0,0,0.105313869100927
"756","1898","33",33,"Socialist",0.142249905307016,5,0,0.480240730608981,-0.177686124321367,0,0,0.044030316618945
"757","1890","330",330,"Catholic",0.0330611095466066,4,0,0.470740636440439,-0.437679526893833,1,1,0.0622595717627671
"758","1893","330",330,"Catholic",0.124576009867407,5,0,0.460807893925378,-0.236447733580018,1,1,0.0655801559400734
"759","1898","330",330,"Catholic",0.0706821204636139,3,0,0.492114763442903,-0.421432642979289,1,1,0.0635306774446501
"760","1890","331",331,"Liberal",0.00430532929951133,4,0.2,0.441354433325576,-0.437049104026065,0,0,0.101203354533573
"761","1893","331",331,"Liberal",0.0659978880675818,4,0,0.446541710665259,-0.380543822597677,0,0,0.0775417636720227
"762","1898","331",331,"Catholic",0.112355517266135,4,0,0.471964965180559,-0.332974370019384,1,0,0.115985403076359
"763","1898","331",331,"Catholic",0.0548961424332344,3,0,0.495211761532236,-0.440315619099002,0,0,0.0159398575970796
"764","1912","331",331,"Catholic",0.108551554828151,3,0,0.475245499181669,-0.366693944353519,0,0,0.0226200082009335
"765","1914","331",331,"Catholic",0.106114746858313,3,0,0.492190950335247,-0.386076203476934,0,0,0.00937465223081363
"766","1890","333",333,"Liberal",0.0669209757935387,3,0.2,0.409673165677687,-0.342752189884148,0,0,0.15062502969483
"767","1893","333",333,"Liberal",0.142595160352462,3,0.166666666666667,0.46231605313772,-0.319720892785257,0,0,0.0984896614015234
"768","1898","333",333,"Socialist",0.132210311383359,4,0,0.441551812149056,-0.245150587034201,1,0,0.105974779105376
"769","1903","333",333,"Socialist",0.170910805712746,5,0,0.445668283481541,-0.213587981676098,1,0,0.0816420416753326
"770","1907","333",333,"Socialist",0.0986525505293551,3,0,0.44961218366076,-0.350959633131405,0,0,0.0730219388081948
"771","1890","334",334,"Liberal",0.107692307692308,3,0.2,0.426452353616533,-0.318760045924225,1,0,0.134934387195006
"772","1893","334",334,"Liberal",0.0564274378416505,5,0,0.320005290072298,-0.117439605007935,0,0,0.189547763493038
"773","1898","334",334,"Socialist",0.0556946182728411,5,0,0.353214956195244,-0.234785669586984,1,0,0.146356427844656
"774","1903","334",334,"Socialist",0.11781990521327,7,0,0.361105845181675,-0.171848341232227,1,0,0.138827775794097
"775","1907","334",334,"Socialist",0.0769511876794571,4,0,0.376664056382146,-0.229652832158705,0,0,0.11664422516143
"776","1912","334",334,"Socialist",0.065753358109257,3,0,0.389783575020039,-0.0452524958099541,0,0,0.143448859630962
"777","1890","335",335,"Liberal",0.044467228677755,3,0.2,0.374876585402901,-0.330409356725146,0,0,0.167568331273086
"778","1893","335",335,"Liberal",0.0229270815376659,4,0,0.371625581796242,-0.320599896569557,0,0,0.164218637045794
"779","1898","335",335,"Socialist",0.19618322915723,5,0,0.460307394993508,-0.200803212851406,1,1,0.104296682768465
"780","1903","335",335,"Socialist",0.186882019775367,4,0,0.480872612076414,-0.293990592301046,1,0,0.0787006234164898
"781","1893","336",336,"Liberal",0.133841131664853,5,0.142857142857143,0.405046893621431,-0.134462925540183,0,0,0.201874800345808
"782","1898","336",336,"Liberal",0.152379316268682,4,0.2,0.417396781767165,-0.109545897039455,0,0,0.211943664401603
"783","1903","336",336,"Liberal",0.137112919027133,4,0,0.41299995740512,-0.19052689866678,0,0,0.238677751507041
"784","1907","336",336,"Liberal",0.126849506186438,3,0.333333333333333,0.438190696479054,0.0648749862319639,0,0,0.15791240885888
"785","1912","336",336,"Liberal",0.140908129450751,4,0.2,0.427941902277374,-0.247867164915744,0,0,0.441674365001272
"786","1893","337",337,"Catholic",0.0815446014453673,5,0,0.316794304821486,0.349800453025564,0,0,0.0980098882164883
"787","1898","337",337,"Catholic",0.0840528953565606,4,0,0.376728458426424,0.0492723869331562,0,0,0.0899680768184988
"788","1903","337",337,"Catholic",0.122022362664074,4,0,0.40427807486631,-0.0788040836169178,0,0,0.144057281471474
"789","1890","339",339,"Liberal",0.0806772308248478,4,0,0.355787190456107,0.0122311261071278,1,0,0.15779094788719
"790","1890","339",339,"Liberal",0.154413166423079,5,0,0.299612378471119,0.320582067738451,0,0,0.164956442090976
"791","1893","339",339,"Liberal",0.0887409118706258,4,0,0.292179112590881,0.187130529319834,0,0,0.166014867342229
"792","1898","339",339,"Socialist",0.0680507497116494,4,0,0.276075135936728,0.142939528752678,0,0,0.0738150032203401
"793","1898","339",339,"Socialist",0.0165307635285396,4,0,0.333209785025945,0.0414381022979985,0,0,0.04829754225947
"794","1903","339",339,"Socialist",0.0401991960160797,4,0,0.361492770144597,-0.0139197216055679,0,0,0.211472314711094
"795","1907","339",339,"Liberal",0.0667537557152188,3,0.333333333333333,0.325887219682125,0.114130198127585,0,0,0.138723298309176
"796","1912","339",339,"Socialist",0.000764039220679968,4,0,0.33855426800798,0.12305276115285,1,1,0.135768070332974
"797","1912","339",339,"Socialist",0.0743027808047786,3,0,0.32057956976228,0.113613431811761,1,1,0.149180885609687
"798","1890","340",340,"Liberal",0.063889615485221,4,0.25,0.426955270729793,-0.363065655244572,0,0,0.0860317422572197
"799","1893","340",340,"Liberal",0.138506466416354,4,0,0.381379502155472,0.040814907523293,0,0,0.192856640942946
"800","1898","340",340,"Liberal",0.0378410527098357,5,0,0.350382871161995,-0.172552226600253,1,0,0.254585238942066
"801","1903","340",340,"Liberal",0.101809954751131,4,0,0.485463800904977,-0.383653846153846,1,1,0.139013357006914
"802","1907","340",340,"Liberal",0.0611718939946511,4,0.166666666666667,0.412934597617311,-0.191344517383905,0,1,0.154614320515668
"803","1907","340",340,"Socialist",0.154569497502204,3,0,0.467773533157018,0.0978548339700264,1,0,0.0702362547712035
"804","1912","340",340,"Socialist",0.0890826030206974,4,0,0.433013238858848,-0.34393063583815,1,1,0.0845131723156208
"805","1890","341",341,"Liberal",0.135375166002656,4,0,0.279631474103586,0.140770252324037,0,0,0.0147976053116652
"806","1893","341",341,"Liberal",0.0146437623204731,6,0.166666666666667,0.343095841546982,0.19496855345912,0,0,0.133852476746701
"807","1894","341",341,"Liberal",0.0905786704925873,4,0,0.364801530368245,0.305212816834051,0,0,0.092336433149782
"808","1898","341",341,"Catholic",0.0759244689221086,5,NA,NA,NA,NA,NA,NA
"809","1903","341",341,"Liberal",0.0133521834747094,4,0,0.443135406848885,0.344643418158969,1,1,0.0913870706078388
"810","1907","341",341,"Liberal",0.0167950997826516,4,0.2,0.408351445695844,0.338865836791148,0,1,0.0607182664145533
"811","1912","341",341,"Liberal",0.193958456195531,4,0,0.210602188585283,0.206080859707752,1,1,0.322659248581251
"812","1890","342",342,"Liberal",0.166421748714181,3,0.333333333333333,0.484937545922116,-0.318515797207935,0,0,0.0890437342140284
"813","1893","342",342,"Liberal",0.182333539476397,4,0,0.491393527107813,-0.142960214388786,0,0,0.134458468997348
"814","1898","342",342,"Socialist",0.126786699433271,3,0,0.452028687496865,-0.107327348412659,0,0,0.0610756120299809
"815","1907","342",342,"Socialist",0.116203873462449,3,0,0.460048668288943,-0.343844794826494,0,0,0.0495101552404688
"816","1907","342",342,"Socialist",0.145223568249477,3,0,0.443481592831668,-0.298258024582191,0,0,0.0820371151400545
"817","1912","342",342,"Socialist",0.19451466470956,3,0,0.498138030389519,-0.303623365679959,0,0,0.0602280299660002
"818","1890","343",343,"Socialist",0.0768037906525953,4,0,0.445143226362266,-0.36833943570967,0,0,0.092197691098961
"819","1893","343",343,"Socialist",0.182522815351919,4,0,0.461015960328374,-0.167270908863608,1,1,0.0554227826624683
"820","1903","343",343,"Socialist",0.130709607299145,3,0,0.47304293109859,-0.342333323799445,0,0,0.0461354770010162
"821","1907","343",343,"Socialist",0.163914180550174,3,0,0.490313831848121,0.147641418055017,0,0,0.0549785522064781
"822","1890","344",344,"Liberal",0.0911518162061472,4,0,0.471592673082893,-0.380440856876746,0,0,0.0396542320427453
"823","1893","344",344,"Liberal",0.0792212389380531,4,0,0.411469026548673,0.190867256637168,0,1,0.0636832658527381
"824","1898","344",344,"Liberal",0.163696919233972,4,0,0.436719400499584,-0.10158201498751,1,0,0.129812456558031
"825","1903","344",344,"Liberal",0.0914611704085388,3,0.5,0.444117286222549,-0.352656115814011,1,1,0.166416713440542
"826","1907","344",344,"Liberal",0.0895104230970132,3,0.333333333333333,0.410275891542808,0.054750937841303,0,0,0.103515159156666
"827","1912","344",344,"Socialist",0.185789771655029,4,0,0.40224570673712,0.0102377807133421,0,0,0.148695420766001
"828","1903","345",345,"Liberal",0.22776136022956,4,0,0.481219752451925,-0.253458392222365,0,0,0.174669013025882
"829","1907","345",345,"Liberal",0.218291662117407,4,0.166666666666667,0.486334024820759,-0.268042362703352,0,0,0.0997341209210548
"830","1912","345",345,"Liberal",0.165102990970655,4,0.25,0.399442720090293,-0.234339729119639,1,1,0.259938499377772
"831","1893","346",346,"Liberal",0.0276848189838759,5,0,0.310617584423486,-0.259263766352297,0,0,0.301211409469153
"832","1903","346",346,"Catholic",0.0407232358760167,4,0,0.334029457023522,-0.293306221147505,0,0,0.202434938947934
"833","1907","346",346,"Liberal",0.0142411052233157,4,0,0.297359954579864,0.140755109765329,1,0,0.13342615494122
"834","1907","346",346,"Liberal",0.0659450156257077,4,0,0.365052765070882,-0.299107749445174,1,0,0.15564050306847
"835","1912","346",346,"Liberal",0.0653270779853058,3,0.5,0.48012746746924,-0.414800389483934,0,0,0.0188340677970227
"836","1890","347",347,"Socialist",0.0776315789473684,3,0,0.400303643724696,-0.322672064777328,0,0,0.108036772764891
"837","1893","347",347,"Socialist",0.170056133247446,5,0,0.412487347013895,-0.230008281954541,0,0,0.146796535098862
"838","1898","347",347,"Socialist",0.0129736742526623,4,0,0.397751229796205,-0.338991296826855,1,0,0.104911853516768
"839","1898","347",347,"Socialist",0.114318604445232,4,0.166666666666667,0.445585761090941,-0.322323563269282,0,0,0.0704799440372639
"840","1903","347",347,"Socialist",0.181818181818182,4,0.4,0.485755835632784,-0.278432396151838,0,0,0.0606388278338451
"841","1907","347",347,"Socialist",0.16581842562399,3,0.166666666666667,0.449608386919818,-0.283789961295828,0,0,0.0621099832056314
"842","1890","348",348,"Socialist",0.0793367346938776,3,0,0.311033163265306,0.0980867346938776,0,0,0.105495559682398
"843","1893","348",348,"Socialist",0.232098450551553,3,0,0.255818402091437,0.241662947140216,0,0,0.0859052641192337
"844","1898","348",348,"Socialist",0.129228153276249,4,0,0.292585170340681,0.148175138155098,0,0,0.136414001475589
"845","1903","348",348,"Socialist",0.0314369567671295,3,0,0.359013432667344,0.149621853482334,0,0,0.0815943021392859
"846","1907","348",348,"Liberal",0.0203441242612834,3,0.5,0.338057632968987,0.061607656503321,1,1,0.282800800765953
"847","1912","348",348,"Socialist",0.0468076370355163,3,0,0.315694929172654,0.0473722028330938,1,1,0.139133893103827
"848","1912","348",348,"Liberal",0.013,3,0.25,0.388,0.138,1,1,0.181
"849","1890","349",349,"Socialist",0.0745095998751236,3,0,0.397367188719496,-0.0492741557833394,0,0,0.187107468883223
"850","1893","349",349,"Socialist",0.00101235067827493,4,0,0.341314031180401,0.0330026321117635,0,0,0.115881058921453
"851","1898","349",349,"Socialist",0.156415163112812,4,0,0.447785675232367,-0.0411882631674868,0,0,0.0778344507754751
"852","1903","349",349,"Socialist",0.151860794271917,4,0,0.432103904753976,0.00116559820164852,0,0,0.0546852245867391
"853","1903","349",349,"Socialist",0.142857142857143,3,0,0.425677305249618,-0.000120588471742067,0,0,0.104779648656601
"854","1907","349",349,"Socialist",0.0414736128376088,3,0,0.364372622141862,0.0188721889479038,0,0,0.0255666337427246
"855","1912","349",349,"Socialist",0.100567895909712,3,0,0.426389188412048,-0.0904679749838257,0,0,0.0954805587357649
"856","1890","35",35,"Liberal",0.128660563829303,4,0,0.458122694357153,-0.132531766634786,0,0,0.106558929679373
"857","1893","35",35,"Socialist",0.0809201507882111,6,0,0.416766620973269,-0.115532899246059,0,0,0.121065787674138
"858","1898","35",35,"Socialist",0.139250698621702,5,0,0.474825936626723,-0.179936531994506,1,0,0.0238542017311872
"859","1893","350",350,"Liberal",0.0222853820812609,3,0,0.398165493185195,0.158710677604806,0,0,0.169432053467552
"860","1898","350",350,"Liberal",0.018650644636375,4,0,0.356052071598448,-0.0416823131806234,0,0,0.237852323653397
"861","1903","350",350,"Socialist",0.0659469085647504,4,0,0.384272914463799,-0.0279370026156158,0,0,0.200198987639088
"862","1907","350",350,"Liberal",0.0646139611390973,3,0.4,0.317723861416675,0.0862033514958364,1,1,0.220693509916449
"863","1912","350",350,"Liberal",0.0190726414635333,3,0.25,0.327056877341507,0.0232082907604729,0,0,0.244697339770088
"864","1907","351",351,"Socialist",0.194957803653456,3,0,0.283463305202436,0.245700245700246,0,0,0.0260193090745081
"865","1912","351",351,"Liberal",0.0876007958948581,3,0,0.313854853911404,0.122107026913813,1,1,0.264216148287779
"866","1890","352",352,"Socialist",0.015819571375127,3,0,0.372721928277484,-0.09448987226765,0,0,0.268221853834553
"867","1893","352",352,"Socialist",0.0519922748526123,5,0,0.371213661313275,0.0211425086399675,0,0,0.0838904021158627
"868","1898","352",352,"Socialist",0.189531538494568,5,0,0.486839280346945,-0.297307741852377,0,0,0.0189368929382536
"869","1907","352",352,"Socialist",0.140089729767329,4,0,0.428268354606476,-0.288178624839147,0,0,0.0971181858988551
"870","1912","352",352,"Socialist",0.124983649444081,3,0,0.478907782864617,-0.192478744277305,0,0,0.0242617374595233
"871","1890","353",353,"Socialist",0.225284090909091,4,0,0.2046875,0.240269886363636,0,0,0.0932658213644524
"872","1893","353",353,"Socialist",0.194349919743178,5,0,0.244686998394864,0.22215088282504,0,0,0.119179433942571
"873","1898","353",353,"Socialist",0.0380812655482554,4,0,0.348855010524973,0.137334949288767,0,0,0.100062401636313
"874","1903","353",353,"Socialist",0.0407083853330956,4,0,0.383371961728175,0.242348606406371,0,0,0.0400926928577611
"875","1907","353",353,"Socialist",0.112658889082361,3,0,0.321608915201114,0.198850774856347,0,0,0.0128462804236227
"876","1912","353",353,"Socialist",0.0844746295464751,3,0,0.313145487202515,0.119499326448136,1,1,0.128079443199167
"877","1890","354",354,"Liberal",0.0172429236832676,3,0,0.388077749910426,-0.370834826227159,1,1,0.210538788741148
"878","1893","354",354,"Socialist",0.0148879856319123,5,0,0.287409017865583,0.0706588524435202,1,1,0.149435670484928
"879","1893","354",354,"Socialist",0.0268742727323101,4,0,0.318169224801906,0.0330802903529672,1,1,0.175064486468275
"880","1898","354",354,"Socialist",0.092252644679527,3,0,0.447313835303879,0.160755030076748,0,0,0.0638391794594933
"881","1903","354",354,"Socialist",0.219314002223933,3,0,0.464673680609015,-0.245359678385083,0,0,0.0471788215858924
"882","1907","354",354,"Socialist",0.0881707273185303,3,0,0.411415410083852,0.0613596286033037,0,0,7.59146200861038e-05
"883","1912","354",354,"Socialist",0.222989673269003,3,0,0.482478415439309,-0.00545115964110376,0,0,0.047883776562845
"884","1893","355",355,"Liberal",0.108058217962371,5,0.333333333333333,0.378274760383387,-0.15498757543486,0,0,0.121296281654494
"885","1893","355",355,"Liberal",0.0487839873735562,5,0,0.257837721500825,0.0056675514742808,0,0,0.376335858588518
"886","1898","355",355,"Socialist",0.00248015873015872,4,0,0.30952380952381,-0.083994708994709,0,0,0.264787125442863
"887","1903","355",355,"Socialist",0.1603929065858,5,0,0.39673017337992,-0.0949304502603995,0,0,0.122152047629961
"888","1903","355",355,"Socialist",0.157106946983547,5,0,0.38842550274223,0.0723834552102377,1,0,0.0624636185966818
"889","1907","355",355,"Socialist",0.0423265325533838,3,0,0.374518476244828,0.042611879963856,0,0,0.105976723350927
"890","1912","355",355,"Socialist",0.181097271904495,3,0,0.457828729043658,-0.0164633883549541,0,0,0.0630641581263436
"891","1890","356",356,"Liberal",0.0617178124464255,3,0,0.448539916566661,-0.386822104120235,1,1,0.114041711644049
"892","1893","356",356,"Liberal",0.147830531576556,5,0.333333333333333,0.416628805088596,-0.246308496138119,0,0,0.204157711765337
"893","1898","356",356,"Liberal",0.0387911843276936,4,0.4,0.377560106856634,-0.33876892252894,0,1,0.165522195737176
"894","1903","356",356,"Socialist",0.089349059950337,4,0,0.415218162468961,-0.325869102518624,0,0,0.0882960228400305
"895","1907","356",356,"Liberal",0.0802209363492898,3,0.5,0.434508153603367,-0.354287217254077,0,0,0.16047164588788
"896","1912","356",356,"Socialist",0.207059865753518,4,0,0.432621213669972,0.0413642713550717,1,1,0.0856765731850858
"897","1890","357",357,"Liberal",0.119036946916821,4,0,0.320484087852981,0.311455465198181,0,0,0.170235169687623
"898","1890","357",357,"Liberal",0.100584259365334,3,0,0.37375415282392,0.325581395348837,0,0,0.183628360230185
"899","1903","357",357,"Socialist",0.0603406845730763,4,0,0.339936989373632,0.151812890478988,0,0,0.0860297723108733
"900","1907","357",357,"Socialist",0.126020257645786,4,0,0.297915232569574,0.154341626511948,1,1,0.0475027448426273
"901","1912","357",357,"Liberal",0.0393730525918233,3,0,0.325701066943631,0.0585874799357946,0,0,0.287756099408616
"902","1890","358",358,"Liberal",0.0261269731307833,4,0,0.440447325449057,-0.414320352318274,1,1,0.108483595603574
"903","1893","358",358,"Liberal",0.0736090992006009,6,0,0.311872954557648,-0.15757283116047,0,1,0.367425179790431
"904","1898","358",358,"Liberal",0.0793443649840789,3,0.2,0.406326669102678,-0.326982304118599,0,0,0.154508396077749
"905","1903","358",358,"Socialist",0.107867568529726,6,0,0.327162691349235,-0.0906461374154503,0,0,0.252342116566406
"906","1907","358",358,"Liberal",0.0338210425703993,4,0.333333333333333,0.336997279611793,-0.303176237041394,0,1,0.334348577846448
"907","1912","358",358,"Socialist",0.0144693451780066,4,0,0.344404064876506,-0.329934719698499,0,0,0.218112638059393
"908","1893","359",359,"Liberal",0.086123769896308,4,0,0.35380754243445,-0.267683772538141,0,1,0.346250911460041
"909","1898","359",359,"Liberal",0.134102614251255,3,0.25,0.43809896342656,-0.303996349175305,0,0,0.220665991615426
"910","1903","359",359,"Socialist",0.0128125529152791,4,0,0.449229553536152,-0.399221087091494,0,0,0.143911028337972
"911","1907","359",359,"Liberal",0.0163558106169297,4,0.25,0.383751793400287,-0.367395982783357,0,1,0.264433025081561
"912","1912","359",359,"Socialist",0.0273196397854902,3,0,0.438935545886876,-0.411615906101386,0,0,0.0858621439153464
"913","1912","359",359,"Socialist",0.0628367610229946,4,0,0.476474159520376,-0.375768384305988,0,0,0.064064549610574
"914","1890","361",361,"Socialist",0.197278426902251,3,0,0.485216585921915,-0.287938159019664,1,1,0.0490056969277252
"915","1898","361",361,"Socialist",0.239063483127463,5,0,0.485379342318773,-0.183826207901447,0,0,0.0349356472632832
"916","1890","362",362,"Liberal",0.0525174529299767,5,0,0.313147873915803,-0.0419399196107468,0,0,0.189966150902741
"917","1893","362",362,"Liberal",0.139365887526036,3,0.333333333333333,0.422541078454062,-0.283175190928026,0,0,0.224431761983509
"918","1903","362",362,"Socialist",0.0969192905032674,5,0,0.343460918272087,-0.0322922854960536,0,0,0.268386412525121
"919","1907","362",362,"Liberal",0.172011543307727,3,0,0.464252326951998,-0.292240783644271,0,0,0.161199266309622
"920","1912","362",362,"Liberal",0.108820559250618,3,0.125,0.454887348957064,-0.152801476477348,1,0,0.139746848440278
"921","1893","363",363,"Liberal",0.0966039175782244,5,0.4,0.476087509539557,-0.374459425082676,0,0,0.150731556035179
"922","1898","363",363,"Socialist",0.167137536920509,4,0,0.412867599845897,-0.245730062925388,0,0,0.088123307125425
"923","1903","363",363,"Socialist",0.159384232623231,4,0,0.483595086300731,-0.14393821593324,0,0,0.0588158367330295
"924","1907","363",363,"Minority",0.0150419310467231,4,0.571428571428571,0.430536451169188,-0.415494520122465,0,0,0.123811839886122
"925","1893","364",364,"Liberal",0.0208564890487087,4,0.333333333333333,0.382870219025825,-0.28264138607388,0,0,0.165651948461859
"926","1898","364",364,"Liberal",0.0144170234197935,4,0,0.311319566859733,-0.118672878368169,0,0,0.292481782005994
"927","1903","364",364,"Liberal",0.0776264784812643,4,0,0.321886492396382,0.007852102176722,0,0,0.280632346197706
"928","1912","364",364,"Socialist",0.0055223941202745,3,0,0.398830551833354,-0.188005035124051,0,0,0.140053812987493
"929","1890","365",365,"Socialist",0.0398978433598184,3,0,0.409477866061294,-0.369580022701476,0,0,0.0871946383169897
"930","1890","365",365,"Socialist",0.0910118711136235,3,0,0.446140317819232,-0.355128446705609,0,0,0.0854683540700005
"931","1907","366",366,"Socialist",0.080196825246623,5,0,0.451657164486291,0.200586690638972,0,0,0.00998799149556023
"932","1912","366",366,"Socialist",0.189326671965482,4,0,0.48647666628818,0.0865675031225162,0,0,0.064124062686306
"933","1890","367",367,"Liberal",0.100853455453788,3,0,0.495732722731057,-0.394879267277269,0,0,0.0714787681059906
"934","1893","367",367,"Liberal",0.0773266184031057,3,0.333333333333333,0.397230091281083,-0.319903472877977,0,0,0.122659899878921
"935","1898","367",367,"Socialist",0.110239388453028,4,0,0.362804264735466,-0.0662844498088916,0,0,0.190721864133129
"936","1903","367",367,"Socialist",0.016824299745362,3,0,0.36122226264096,-0.344397962895598,0,0,0.148267040326603
"937","1907","367",367,"Liberal",0.0101330445544555,3,0.6,0.34320853960396,-0.333075495049505,0,1,0.271381316376002
"938","1907","367",367,"Socialist",0.214930528298925,3,0,0.485359918360939,-0.270429390062014,0,0,0.0243253988422008
"939","1912","367",367,"Socialist",0.100219810413518,3,0,0.42581398543756,-0.325594175024042,0,0,0.101722630640377
"940","1912","367",367,"Socialist",0.00834230355220666,3,0,0.38690796555436,-0.378565662002153,0,0,0.226277526396746
"941","1890","368",368,"Socialist",0.188148877672453,3,0,0.459805490582297,-0.271656612909844,0,0,0.0493932089778481
"942","1893","369",369,"Socialist",0.00900017822135091,4,0,0.388477989663162,-0.153894136517555,0,0,0.183371295741776
"943","1898","369",369,"Socialist",0.0609552438209753,3,0,0.448021042084168,-0.22436539746159,0,0,0.0875856999282676
"944","1903","369",369,"Socialist",0.0288061669540521,4,0,0.414781756094262,-0.38597558914021,0,0,0.138929348185548
"945","1903","369",369,"Socialist",0.0596534834417721,3,0,0.464763506104247,-0.277396008480152,0,0,0.057038399757722
"946","1912","369",369,"Socialist",0.203086707900572,4,0,0.450752713268759,-0.247666005368188,1,0,0.0894308042449475
"947","1893","37",37,"Liberal",0.155800378196169,4,0.285714285714286,0.258817725889994,0.24895173888021,1,1,0.293782659352264
"948","1898","37",37,"Liberal",0.129192253188474,4,0,0.286490316485593,0.240828216028972,1,1,0.199748887144915
"949","1903","37",37,"Socialist",0.191603646900841,5,0,0.276910028977313,0.299526468301647,0,0,0.0145218450293336
"950","1890","370",370,"Liberal",0.210449075432932,3,0.333333333333333,0.486854794750304,-0.276405719317372,0,0,0.0254610431870809
