"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","conmarg","difcro2","rightmar2","diffvotensoc"
"89","1912","123",123,"Socialist",0.0730442822705809,3,0,0.395997754515735,0.0491695010401875,1,0,0.0948528645548553
"90","1912","123",123,"Socialist",0.018,3,0,0.4,0.164,0,0,0.078
"91","1893","124",124,"Socialist",0.178667038482989,5,0,0.4638315672058,-0.20515895147797,1,1,0.0569033695929111
"92","1903","124",124,"Socialist",0.122116271916333,5,0,0.493836216075527,-0.260606204008234,0,0,0.0268594510718502
"93","1907","125",125,"Liberal",0.0484761709961137,4,0.428571428571429,0.395663734915116,-0.347187563919002,0,0,0.235508476912754
"94","1912","125",125,"Socialist",0.204769672958906,4,0,0.423793987415521,-0.0294803076206013,0,0,0.0964084142157758
"95","1898","126",126,"Liberal",0.0471590186856489,4,0.428571428571429,0.454493453667217,-0.407334434981569,0,0,0.101236137210547
"96","1898","126",126,"Socialist",0.0584947095228588,3,0,0.402275903373927,-0.0944300259532841,0,0,0.172343714625426
"97","1903","126",126,"Socialist",0.153472871842844,5,0,0.461880261927035,-0.137570159027128,0,0,0.0445829235407634
"98","1907","126",126,"Socialist",0.18450483548544,4,0,0.476200767194338,0.0922794316278567,0,0,0.00301579568819976
"99","1890","127",127,"Socialist",0.0502666624085843,3,0,0.399642321080701,0.304921278702136,1,1,0.108229742391684
"100","1898","127",127,"Socialist",0.0922419764488571,4,0,0.49324636342646,-0.365302470561071,0,0,0.00522824977903102
"101","1903","127",127,"Socialist",0.182765247294427,4,0,0.480757560432892,-0.0919894811368464,0,0,0.0430048874247507
"102","1890","128",128,"Liberal",0.0173732021196064,5,0,0.294322482967449,0.0352006056018168,0,0,0.223502995333998
"103","1893","128",128,"Liberal",0.00515626644217615,6,0,0.35174857062682,-0.138693044301799,0,0,0.28398472535301
"104","1898","128",128,"Socialist",0.117838096540407,6,0,0.384999316286066,-0.115581840557911,0,0,0.171263122133561
"105","1903","128",128,"Socialist",0.0718906826289377,5,0,0.416319003567326,-0.182115000906947,0,0,0.107078698126786
"106","1907","128",128,"Socialist",0.000591949486977161,3,0,0.394773931672116,-0.19582252790619,0,0,0.198416691295392
"107","1912","128",128,"Socialist",0.129308927494931,3,0,0.476050857675234,-0.177316819203157,0,0,0.023935924253018
"108","1897","129",129,"Liberal",0.00816671360180232,3,0.2,0.425725147845677,0.298155449169248,1,1,0.152193757870004
"109","1898","129",129,"Liberal",0.0611368364539293,3,0,0.373263539359775,0.245688208845044,1,1,0.188837241335754
"110","1903","129",129,"Catholic",0.130397335783188,3,0.666666666666667,0.419039963252182,-0.288642627468994,0,1,0.156337062032339
"111","1907","129",129,"Liberal",0.158058667658407,3,0.6,0.47733717632839,-0.319278508669983,0,1,0.172304400732542
"112","1912","129",129,"Socialist",0.145213384436501,4,0,0.38503940398777,-0.0117135351621377,0,0,0.162832261903933
"113","1912","13",13,"Liberal",0.0932837533856677,4,0,0.269476197034385,0.14520497635771,1,1,0.310178928062812
"114","1898","130",130,"Liberal",0.104415760869565,3,0,0.386820652173913,0.373301630434783,0,0,0.138090487051342
"115","1898","130",130,"Liberal",0.0833829306034995,3,0,0.395429115581478,0.356921795024402,1,1,0.119369578651383
"116","1903","130",130,"Liberal",0.109622484220555,3,0,0.350005954507562,0.272835536501131,0,0,0.17002253044882
"117","1907","130",130,"Liberal",0.17505193291787,4,0,0.292040330344024,0.234128793636318,1,1,0.213785202418374
"118","1912","130",130,"Liberal",0.137772567409144,3,0,0.293927315357562,0.160140679953107,1,1,0.265803552456426
"119","1890","131",131,"Liberal",0.0727475084737189,3,0,0.398543026255881,0.343299438458036,1,1,0.121801868144429
"120","1898","131",131,"Socialist",0.0585059751764869,3,0,0.345775850136114,0.157984589120103,1,1,0.100130321822502
"121","1903","131",131,"Socialist",0.0392041901188243,5,0,0.409709193245779,0.160412757973734,0,0,0.0600113036486313
"122","1907","131",131,"Socialist",0.0213537180591444,5,0,0.362474877978754,0.145025839793282,0,0,0.0272871827066859
"123","1912","131",131,"Socialist",0.0945793524416136,5,0,0.428609341825902,0.112758757961783,0,0,0.0968308760941288
"124","1890","132",132,"Socialist",0.111088877772219,3,0,0.427146906786727,-0.316058029014507,0,0,0.0959816854160294
"125","1893","132",132,"Socialist",0.085919076579372,3,0,0.403096686111456,-0.0461400024823135,0,0,0.153008308601488
"126","1898","132",132,"Socialist",0.251059203924629,5,0,0.497268368825956,-0.224049503846583,0,0,0.0469259803219534
"127","1912","133",133,"Socialist",0.0525804423615477,4,0,0.384208721495113,0.264130993884666,1,1,0.0776007806644683
"128","1890","134",134,"Liberal",0.00787359111254921,3,0.5,0.436606805802729,-0.42873321469018,0,0,0.0924714219056358
