"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","socmarg","difcro2","rightmar2","diffvotensoc","diffturn","diffturnraw","turnrawfir","turnfir"
"627","1899","292",292,"Conservative",0.036367397600331,3,0.6,0.442366570128258,0.403227141083988,0,0,0.0689870242160765,0.0586248263669655,1857,24170,0.76303826240687
"628","1893","293",293,"Conservative",0.0330852727876002,4,0,0.397734275015405,0.131393089064796,0,0,0.170808156013327,-0.00409241415231221,-110,21097,0.784887830648462
"629","1903","293",293,"Conservative",0.169424814384113,4,0.333333333333333,0.315770641381161,0.290634224885947,1,0,0.153201802830376,0.0204908719036436,541,22358,0.846829785622301
"630","1912","293",293,"Conservative",0.172677096734033,3,0.4,0.286799186620741,0.209860148566212,1,1,0.204582559635263,0.0252323541487812,676,24097,0.899443843081632
"631","1893","294",294,"Conservative",0.0739885553659271,4,0.4,0.466419034233511,0.309808252183516,0,0,0.07694996302949,0.00696037014685169,173,19922,0.8015288674311
"632","1898","294",294,"Liberal",0.18016318445503,3,0,0.280054709239259,0.205253973494317,0,0,0.245321975931241,0.0569263574746782,1495,21203,0.807364252532176
"633","1907","294",294,"Liberal",0.215415385755028,4,0,0.257194710915219,0.306826178747361,1,1,0.270872959083682,0.0107946235810293,310,26999,0.940142071174873
"634","1903","295",295,"Conservative",0.0104484880683579,3,0.6,0.434940452472661,0.330721211316244,0,0,0.0564554226714525,0.0315557915497232,832,22587,0.856671470833649
"635","1907","295",295,"Conservative",0.00648539778449142,3,0.5,0.390654582074522,0.162054380664653,1,1,0.183316318562778,0.00460726759307428,124,24825,0.922382403210225
"636","1912","295",295,"Conservative",0.03348588863463,3,0.5,0.394317315026697,0.254996186117468,1,0,0.106772992515223,0.0133342740228588,378,26220,0.924932975871314
"637","1890","296",296,"Liberal",0.0804348499396042,5,0.2,0.480626877690711,0.320562455477437,1,1,0.0604202102894621,-0.000192487488313242,-7,32287,0.887834790738602
"638","1893","296",296,"Liberal",0.0314304461942257,4,0.25,0.355183727034121,0.154429133858268,1,1,0.173994207865361,0.00563794255177019,211,30480,0.814428857715431
"639","1898","296",296,"Liberal",0.00444978563076526,5,0.166666666666667,0.385734701831883,0.184422502273613,1,1,0.152731693344428,0.0223226616446955,889,30788,0.77308223477715
"640","1903","296",296,"Liberal",0.0409184234117001,4,0.333333333333333,0.425811862005147,0.370347878893034,0,0,0.0217233202843762,0.0443664976062947,1872,34581,0.819571503057307
"641","1912","296",296,"Liberal",0.0168286263791882,4,0.142857142857143,0.46031987043223,0.356842797854034,1,0,0.0694646980907011,0.0261021770047041,1193,39516,0.864588119461766
"642","1903","297",297,"Conservative",0.0711267292380233,3,0.5,0.391619589875895,0.322094212890886,0,0,0.0609357727865937,0.0421677802524127,1136,22481,0.834484038604306
"643","1907","297",297,"Conservative",0.039268761523675,3,0.333333333333333,0.42414969989408,0.198305284217959,0,1,0.139870384838385,3.63570259952484e-05,1,25491,0.926776949645519
"644","1912","297",297,"Conservative",0.16140711944508,3,0.5,0.279403917981553,0.165751962802043,1,1,0.21142194221131,0.0144047992745282,413,26238,0.915140734540128
"645","1890","3",3,"Liberal",0.224730283848879,4,0,0.267725626020144,0.266332258449779,1,1,0.221474358468164,0.0211807977677723,668,25119,0.796467753186632
"646","1893","3",3,"Liberal",0.151254273592289,3,0.333333333333333,0.30053136713762,0.206615314907114,0,0,0.138932024931012,-0.0159830541113036,-498,24277,0.779157840682971
"647","1903","3",3,"Liberal",0.122947944436649,4,0.4,0.369615546513259,0.379858285393574,1,1,0.113937391015806,0.0948079550630029,3747,28508,0.721319771266636
"648","1890","30",30,"Conservative",0.0663063812097277,3,0,0.479526086052796,-0.413219704843068,0,0,0.0449195700722498,0.107817132157903,1382,9622,0.750663129973475
"649","1893","30",30,"Conservative",0.0800829465784537,4,0,0.434580823541029,-0.354497876962575,0,0,0.107711589984792,0.0152491746580726,194,10127,0.796022637950008
"650","1898","30",30,"Conservative",0.00164394159172226,5,0,0.367856106759501,-0.3616671501789,0,0,0.155939223593206,-0.0216368767638758,-276,10341,0.810677328316087
"651","1903","30",30,"Catholic",0.072742022714981,6,0,0.340364160807644,-0.209482603208942,0,0,0.225363538722873,-0.0344559987583424,-444,11094,0.860934347353717
"652","1907","30",30,"Conservative",0.133730758964321,4,0,0.429486609128926,-0.264169410089866,0,0,0.153112019422147,-0.000773933906044522,-10,11239,0.869824317003328
